Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
Allen Socket Bolt M8X30 SS,Nos,302.0,1477.0,1175.0,302.0,3411.14
Allen Socket Bolt M8X35 SS,Nos,364.0,1198.0,834.0,364.0,4455.360000000001
Allen Socket Bolt M8X40 SS,Nos,181.0,376.0,195.0,181.0,1516.94
Allen Socket Bolt M8X45 SS,Nos,307.0,2395.0,2088.0,307.0,4387.03
Allen Socket Bolt M8X50 SS,Nos,224.0,709.0,485.0,224.0,3400.3199999999997
Allen Socket Bolt M8X55 SS,Nos,288.0,555.0,267.0,288.0,5152.32
Allen Socket Bolt M8X60 SS,Nos,132.0,367.0,235.0,132.0,1920.6000000000001
Allen Socket Bolt M8X65 SS,Nos,222.0,535.0,313.0,222.0,4335.599999999999
Allen Socket Bolt M8X70 SS,Nos,186.0,394.0,208.0,186.0,3688.3799999999997
Allen Socket Bolt M8X75 SS,Nos,451.0,477.0,26.0,451.0,6837.570000000001
Allen Socket Bolt M8X80 SS,Nos,54.0,100.0,46.0,54.0,3465.1800000000003
Allen Socket Bolt M8X90 SS,Nos,54.0,136.0,82.0,54.0,1539.0
Allen Socket BoltM10X35 SS,Nos,92.0,782.0,690.0,92.0,4141.84
Allen Socket BoltM10X40 SS,Nos,21.0,343.0,322.0,21.0,269.43
Allen Socket BoltM10X45 SS,Nos,252.0,402.0,150.0,252.0,11278.12
Allen Socket BoltM10X50 SS,Nos,209.0,452.0,243.0,209.0,11488.73
Allen Socket BoltM10X60 SS,Nos,114.0,188.0,74.0,114.0,2014.38
Allen Socket BoltM10X70 SS,Nos,343.0,449.0,106.0,343.0,7688.7
Allen Socket BoltM10X75 SS,Nos,100.0,152.0,52.0,100.0,2655.0
Allen Socket BoltM10X75 SS,Nos,100.0,152.0,52.0,100.0,2655.0
Allen Socket BoltM10X80 SS,Nos,287.0,335.0,48.0,287.0,16300.52
Allen Socket BoltM12X100 SS,Nos,0.0,30.0,30.0,0.0,0.0
Allen Socket BoltM12X110 MS,Nos,0.0,200.0,200.0,0.0,0.0
Allen Socket BoltM12X120 MS,Nos,8.0,220.0,212.0,8.0,768.48
Allen Socket BoltM12X20 SS,Nos,18.0,244.0,226.0,18.0,344.34
