Item ID,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Taxable,Exemption Reason,Taxability Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,SKU,HSN/SAC,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,TrackSerialNumber,Track Batches,Reorder Level,Preferred Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Category Name,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type
536460000007324158,"Capacitor Unit (CBU) 166.7kVAr,6.35kV",,INR 15000.00,Sales,false,Epcos India (EP),,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP166k728AB,85322500,,,,,INR 15000.00,Materials,,Inventory Asset,false,false,,,Main Store,4.00,INR 15000.00,4.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007325195,"Capacitor Unit (CBU) 33.33KVr,6.35kV",,INR 10000.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP33k3328AB,85322500,,,,,INR 10000.00,Materials,,Inventory Asset,false,false,,,Main Store,25.00,INR 10000.00,25.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007326232,"Capacitor Unit (CBU)66.67 kVr,6.35V",,INR 11000.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP66k6728AB,85322500,,,,,INR 11000.00,Materials,,Inventory Asset,false,false,,,Main Store,52.00,INR 11000.00,52.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007327269,"Capacitor Unit (CBU) 28kVAr,2kV",,INR 11000.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP0028k24AB,85322500,,,,,INR 11000.00,Materials,,Inventory Asset,false,false,,,Main Store,12.00,INR 11000.00,12.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007328306,"Capacitor Unit (CBU) 56kVAr,2kV",,INR 13750.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP0056k24AB,85322500,,,,,INR 13750.00,Materials,,Inventory Asset,false,false,,,Main Store,12.00,INR 13750.00,12.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007329343,"Capacitor Unit (CBU) 112kVAr,2kV",,INR 17875.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP0112k24AB,85322500,,,,,INR 17875.00,Materials,,Inventory Asset,false,false,,,Main Store,36.00,INR 17875.00,36.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007330380,"Capacitor Unit (CBU) 83.33kVAr,1kV",,INR 82875.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP83k3320AB,85322500,,,,,INR 82875.00,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 82875.00,2.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007331417,"Capacitor Unit (CBU) 333.3KvAr,6.35kV",,INR 21900.00,Sales,false,Epcos India,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP333k328AB,85322500,,,,,INR 21900.00,Materials,,Inventory Asset,false,false,,,Main Store,11.00,INR 21900.00,11.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007332454,"HV Film Capacitor 1000PF�5%,30 KV",,INR 133.76,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FHFCH1000p31A3,85322500,,,,,INR 133.76,Materials,,Inventory Asset,false,false,,,Main Store,22.00,INR 133.76,6.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007333491,"HV Film Capacitor 3000PF�5%,30 KV -New",,INR 297.59,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FHFCH3000p31A3,85322500,,,,,INR 297.59,Materials,,Inventory Asset,false,false,,,Main Store,200.00,INR 297.59,220.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007334528,Capacitor 0.22K/400 V-(CTR)-Yellow,,INR 12.00,Sales,false,CTR,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FFACT00u2211A3,85322500,,,,,INR 12.00,Materials,,Inventory Asset,false,false,,,Main Store,88.00,INR 12.00,220.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007335565,Capacitor 0.01K/400 V-(CTR)-Yellow,,INR 5.00,Sales,false,CTR,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FFACT00u0111A3,85322500,,,,,INR 5.00,Materials,,Inventory Asset,false,false,,,Main Store,90.00,INR 5.00,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007336602,Capacitor 0.47K/400 V-(CTR)-Yellow,,INR 9.50,Sales,false,CTR,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FFACT00u4711A3,85322500,,,,,INR 9.50,Materials,,Inventory Asset,false,false,,,Main Store,52.00,INR 9.50,250.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007337639,Capacitor 0.047K/400 V(47nk)-(CTR)-Yellow,,INR 9.50,Sales,false,CTR,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FFACT0u04711A3,85322500,,,,,INR 9.50,Materials,,Inventory Asset,false,false,,,Main Store,250.00,INR 9.50,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007338676,Capacitor 0.1K/630 V CTR 100nF,,INR 10.00,Sales,true,CTR,,0.00,0.00,0.00,0.00,cm,kg,true,,,goods,2,,,Active,Nos,FFACT000u116A3,85322500,,,,,INR 10.00,Materials,,Inventory Asset,false,false,,,Main Store,20.00,INR 10.00,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
